,STATE,ELEPHANT POPULATION IN 1993,ELEPHANT POPULATION IN 1997,ELEPHANT POPULATION IN 2002,ELEPHANT POPULATION IN 2007,ELEPHANT POPULATION IN 2012,ELEPHANT POPULATION IN 2017
2,Meghalaya,2872.0,1840.0,1868.0,1811.0,,1754
4,Mizoram,15.0,22.0,33.0,12.0,,7
5,Manipur,50.0,30.0,12.0,,,9
8,West Bengal (South),14.0,26.0,36.0,25.0,,194
11,Chhattisgarh,,,,122.0,247.0,247
12,Bihar ,,,,,,25
13,Madhya Pradesh,,,,,,7
14,Uttarakhand ,828.0,1130.0,1582.0,1346.0,,1839
16,Haryana,,,,,,7
17,Himachal Pradesh,,,,,,7
22,Maharashtra,,,,7.0,4.0,6
23,A&N Nicobar Islands ,,,,,,25
