COUNTRY,CUSTOMER_NBR,MATERIAL_NBR,MONTH_YEAR,QUANTITY,UNIT
IN42,1045,1-00P962-184-340-140,2021-08,144.0,EA
IN42,1045,1-00P962-184-340-140,2021-09,120.0,EA
IN42,1045,1-00P962-184-340-140,2021-10,0.0,EA
IN42,1045,1-00P962-184-340-140,2021-11,360.0,EA
IN42,1045,1-00P962-184-340-140,2021-12,0.0,EA
IN42,1045,1-00P962-184-340-140,2022-01,48.0,EA
IN42,1045,1-00P962-184-340-140,2022-02,,EA
IN42,1045,1-00P962-184-340-140,2022-03,0.0,EA
IN42,1045,1-00P962-184-340-140,2022-04,0.0,EA
IN42,1045,1-00S392-L84-240-140,2019-01,224.0,EA
IN42,1045,1-00S392-L84-240-140,2019-02,64.0,EA
IN42,1045,1-00S392-L84-240-140,2019-03,160.0,EA
IN42,1045,1-00S392-L84-240-140,2019-04,96.0,EA
IN42,1045,1-00S392-L84-240-140,2019-05,,EA
IN42,1045,1-00S392-L84-240-140,2019-06,64.0,EA
IN42,1045,1-00S392-L84-240-140,2019-07,288.0,EA
IN42,1045,1-00S392-L84-240-140,2019-08,544.0,EA
IN42,1045,1-00S392-L84-240-140,2019-09,3040.0,EA
IN42,1045,1-00S392-L84-240-140,2019-10,768.0,EA
IN42,1045,1-00S392-L84-240-140,2019-11,0.0,EA
IN42,1045,1-00S392-L84-240-140,2019-12,5622.0,EA
IN42,1045,1-00S392-L84-240-140,2020-01,7424.0,EA
IN42,1045,1-00S392-L84-240-140,2020-02,224.0,EA
IN42,1045,1-00S392-L84-240-140,2020-03,4515.0,EA
IN42,1045,1-00S392-L84-240-140,2020-04,4128.0,EA
IN42,1045,1-00S392-L84-240-140,2020-05,6432.0,EA
IN42,1045,1-00S392-L84-240-140,2020-06,2752.0,EA
IN42,1045,1-00S392-L84-240-140,2020-07,768.0,EA
IN42,1045,1-00S392-L84-240-140,2020-08,2656.0,EA
IN42,1045,1-00S392-L84-240-140,2020-09,1952.0,EA
IN42,1045,1-00S392-L84-240-140,2020-10,1952.0,EA
IN42,1045,1-00S392-L84-240-140,2020-11,2828.0,EA
IN42,1045,1-00S392-L84-240-140,2020-12,10235.0,EA
IN42,1045,1-00S392-L84-240-140,2021-01,488.0,EA
IN42,1045,1-00S392-L84-240-140,2021-02,960.0,EA
IN42,1045,1-00S392-L84-240-140,2021-03,4160.0,EA
IN42,1045,1-00S392-L84-240-140,2021-04,4032.0,EA
IN42,1045,1-00S392-L84-240-140,2021-05,2112.0,EA
IN42,1045,1-00S392-L84-240-140,2021-06,4928.0,EA
IN42,1045,1-00S392-L84-240-140,2021-07,4608.0,EA
IN42,1045,1-00S392-L84-240-140,2021-08,4576.0,EA
IN42,1045,1-00S392-L84-240-140,2021-09,5548.0,EA
IN42,1045,1-00S392-L84-240-140,2021-10,6311.0,EA
IN42,1045,1-00S392-L84-240-140,2021-11,4800.0,EA
IN42,1045,1-00S392-L84-240-140,2021-12,4408.0,EA
IN42,1045,1-00S392-L84-240-140,2022-01,6944.0,EA
IN42,1045,1-00S392-L84-240-140,2022-02,3424.0,EA
IN42,1045,1-00S392-L84-240-140,2022-03,9165.0,EA
IN42,1045,1-00S392-L84-240-140,2022-04,0.0,EA
IN42,1045,1-00S493-L84-140-140,2019-01,192.0,EA
IN42,1045,1-00S493-L84-140-140,2019-02,144.0,EA
IN42,1045,1-00S493-L84-140-140,2019-03,264.0,EA
IN42,1045,1-00S493-L84-140-140,2019-04,168.0,EA
IN42,1045,1-00S493-L84-140-140,2019-05,144.0,EA
IN42,1045,1-00S493-L84-140-140,2019-06,240.0,EA
IN42,1045,1-00S493-L84-140-140,2019-07,216.0,EA
IN42,1045,1-00S493-L84-140-140,2019-08,312.0,EA
IN42,1045,1-00S493-L84-140-140,2019-09,0.0,EA
IN42,1045,1-00S493-L84-140-140,2019-10,48.0,EA
IN42,1045,1-00S493-L84-140-140,2019-11,0.0,EA
IN42,1045,1-00S493-L84-140-140,2019-12,528.0,EA
IN42,1045,1-00S493-L84-140-140,2020-01,264.0,EA
IN42,1045,1-00S493-L84-140-140,2020-02,96.0,EA
IN42,1045,1-00S493-L84-140-140,2020-03,120.0,EA
IN42,1045,1-00S493-L84-140-140,2020-04,0.0,EA
IN42,1045,1-00S493-L84-140-140,2020-05,72.0,EA
IN42,1045,1-00S493-L84-140-140,2020-06,0.0,EA
IN42,1045,1-00S493-L84-140-140,2020-07,0.0,EA
IN42,1045,1-00S493-L84-140-140,2020-08,24.0,EA
IN42,1045,1-00S493-L84-140-140,2020-09,288.0,EA
IN42,1045,1-00S493-L84-140-140,2020-10,24.0,EA
IN42,1045,1-00S493-L84-140-140,2020-11,0.0,EA
